V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
293.025	291.440	290.058	288.857	287.816	286.918	286.147	285.491	284.940	284.483	284.113	283.825	283.612	283.473	283.404
291.146	289.778	288.585	287.547	286.648	285.872	285.207	284.640	284.164	283.769	283.450	283.201	283.018	282.897	282.837
292.190	290.702	289.404	288.275	287.297	286.453	285.729	285.113	284.595	284.166	283.819	283.548	283.348	283.217	283.152
293.813	292.138	290.678	289.407	288.307	287.357	286.542	285.849	285.266	284.783	284.392	284.087	283.862	283.715	283.641
293.596	291.946	290.507	289.256	288.172	287.236	286.433	285.750	285.176	284.700	284.315	284.015	283.793	283.648	283.576
290.322	289.048	287.937	286.972	286.135	285.413	284.794	284.267	283.823	283.456	283.159	282.927	282.756	282.644	282.588
289.682	288.482	287.435	286.526	285.737	285.057	284.473	283.977	283.559	283.213	282.933	282.714	282.554	282.448	282.395
289.816	288.600	287.541	286.619	285.821	285.132	284.540	284.037	283.614	283.264	282.980	282.759	282.596	282.489	282.436
290.852	289.517	288.354	287.342	286.465	285.708	285.059	284.507	284.042	283.657	283.346	283.103	282.924	282.807	282.748
289.949	288.718	287.645	286.712	285.903	285.205	284.607	284.098	283.669	283.314	283.027	282.803	282.638	282.530	282.476
290.059	288.816	287.732	286.789	285.972	285.267	284.662	284.148	283.715	283.356	283.066	282.840	282.673	282.564	282.509
292.081	290.605	289.318	288.199	287.229	286.393	285.675	285.064	284.550	284.124	283.780	283.511	283.314	283.184	283.119
294.199	292.480	290.980	289.677	288.547	287.572	286.735	286.024	285.425	284.929	284.528	284.215	283.984	283.833	283.758
294.679	292.904	291.356	290.011	288.845	287.838	286.975	286.241	285.623	285.111	284.697	284.374	284.136	283.980	283.902
294.166	292.450	290.954	289.653	288.526	287.553	286.718	286.008	285.411	284.916	284.516	284.204	283.974	283.823	283.748
294.852	293.057	291.493	290.132	288.953	287.935	287.062	286.319	285.695	285.177	284.759	284.432	284.191	284.033	283.955
