V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
289.094	287.889	286.838	285.924	285.132	284.449	283.862	283.364	282.944	282.597	282.315	282.096	281.934	281.828	281.776
289.647	288.378	287.272	286.310	285.476	284.757	284.139	283.614	283.173	282.807	282.511	282.280	282.110	281.998	281.942
289.324	288.092	287.018	286.084	285.275	284.576	283.977	283.468	283.039	282.684	282.396	282.172	282.007	281.899	281.845
289.524	288.269	287.175	286.224	285.399	284.688	284.078	283.558	283.122	282.760	282.467	282.239	282.071	281.960	281.905
289.888	288.592	287.461	286.478	285.626	284.891	284.260	283.724	283.272	282.898	282.596	282.360	282.186	282.072	282.015
289.857	288.564	287.436	286.456	285.606	284.873	284.244	283.709	283.259	282.886	282.585	282.349	282.176	282.062	282.006
290.210	288.876	287.714	286.703	285.826	285.070	284.421	283.869	283.405	283.021	282.709	282.467	282.288	282.170	282.112
291.042	289.612	288.366	287.282	286.343	285.533	284.838	284.246	283.748	283.336	283.003	282.743	282.551	282.425	282.363
289.889	288.593	287.462	286.479	285.627	284.891	284.261	283.724	283.273	282.899	282.596	282.360	282.186	282.072	282.015
288.472	287.338	286.350	285.490	284.745	284.102	283.551	283.082	282.687	282.360	282.096	281.889	281.737	281.638	281.588
287.831	286.771	285.847	285.043	284.347	283.746	283.230	282.791	282.422	282.117	281.870	281.676	281.534	281.441	281.395
287.781	286.727	285.807	285.008	284.315	283.718	283.205	282.769	282.402	282.098	281.852	281.660	281.518	281.426	281.380
287.804	286.747	285.826	285.024	284.330	283.731	283.216	282.779	282.411	282.106	281.860	281.667	281.526	281.433	281.387
288.830	287.655	286.631	285.740	284.968	284.302	283.730	283.244	282.835	282.496	282.222	282.008	281.851	281.747	281.696
287.938	286.866	285.931	285.118	284.413	283.805	283.284	282.840	282.467	282.157	281.907	281.712	281.568	281.474	281.427
287.028	286.060	285.216	284.483	283.847	283.298	282.828	282.427	282.090	281.811	281.586	281.410	281.280	281.195	281.152
288.215	287.111	286.148	285.311	284.585	283.959	283.422	282.965	282.581	282.263	282.005	281.804	281.656	281.559	281.510
287.863	286.799	285.872	285.065	284.366	283.763	283.246	282.806	282.435	282.129	281.881	281.687	281.544	281.451	281.404
288.890	287.708	286.678	285.782	285.005	284.335	283.760	283.271	282.860	282.519	282.243	282.028	281.870	281.766	281.714
289.801	288.515	287.393	286.417	285.572	284.842	284.217	283.684	283.236	282.865	282.565	282.331	282.158	282.045	281.989
289.706	288.430	287.318	286.351	285.512	284.789	284.169	283.641	283.197	282.829	282.531	282.299	282.128	282.016	281.960
290.327	288.980	287.805	286.784	285.899	285.135	284.480	283.922	283.453	283.065	282.751	282.505	282.325	282.206	282.147
291.019	289.592	288.348	287.267	286.329	285.520	284.826	284.236	283.739	283.328	282.995	282.735	282.544	282.418	282.356
291.568	290.078	288.779	287.649	286.670	285.826	285.101	284.484	283.966	283.536	283.189	282.917	282.718	282.587	282.521
291.063	289.631	288.383	287.297	286.357	285.545	284.848	284.256	283.757	283.345	283.011	282.750	282.558	282.432	282.369
290.634	289.251	288.046	286.998	286.089	285.306	284.633	284.061	283.580	283.181	282.859	282.607	282.422	282.300	282.240
290.431	289.072	287.887	286.856	285.963	285.193	284.532	283.969	283.496	283.104	282.787	282.540	282.358	282.238	282.179
291.090	289.655	288.404	287.316	286.373	285.560	284.862	284.268	283.769	283.355	283.020	282.759	282.567	282.440	282.377
291.655	290.155	288.847	287.710	286.725	285.874	285.145	284.524	284.002	283.569	283.219	282.946	282.745	282.613	282.548
291.864	290.340	289.011	287.856	286.855	285.991	285.249	284.619	284.088	283.649	283.293	283.016	282.812	282.677	282.611
290.748	289.352	288.135	287.077	286.160	285.369	284.690	284.113	283.627	283.225	282.899	282.645	282.458	282.335	282.274
289.765	288.482	287.364	286.392	285.549	284.822	284.198	283.667	283.221	282.851	282.552	282.319	282.147	282.034	281.978
289.772	288.488	287.369	286.397	285.553	284.826	284.202	283.671	283.224	282.854	282.555	282.321	282.149	282.036	281.980
289.075	287.872	286.823	285.911	285.120	284.438	283.853	283.355	282.936	282.589	282.309	282.089	281.928	281.822	281.770
290.521	289.152	287.958	286.920	286.020	285.243	284.577	284.010	283.534	283.139	282.819	282.570	282.386	282.266	282.206
292.500	290.903	289.510	288.299	287.250	286.344	285.568	284.907	284.351	283.890	283.518	283.227	283.013	282.872	282.803
291.046	289.616	288.369	287.285	286.346	285.535	284.840	284.248	283.750	283.338	283.005	282.744	282.553	282.427	282.364
290.328	288.980	287.806	286.784	285.899	285.135	284.480	283.923	283.454	283.065	282.751	282.506	282.325	282.206	282.147
289.465	288.217	287.129	286.183	285.363	284.655	284.048	283.532	283.097	282.737	282.446	282.219	282.052	281.942	281.887
290.682	289.294	288.084	287.032	286.120	285.333	284.658	284.083	283.600	283.200	282.876	282.623	282.437	282.315	282.254
291.742	290.232	288.916	287.771	286.779	285.923	285.188	284.564	284.038	283.603	283.250	282.975	282.773	282.640	282.574
290.959	289.539	288.301	287.225	286.292	285.487	284.796	284.209	283.714	283.305	282.974	282.715	282.525	282.400	282.338
290.643	289.259	288.053	287.004	286.095	285.311	284.638	284.065	283.584	283.185	282.862	282.610	282.425	282.303	282.242
289.728	288.450	287.336	286.366	285.526	284.802	284.180	283.651	283.206	282.837	282.539	282.307	282.135	282.023	281.967
287.847	286.785	285.859	285.054	284.356	283.754	283.238	282.798	282.429	282.123	281.875	281.682	281.539	281.446	281.399
287.991	286.912	285.972	285.154	284.446	283.834	283.310	282.864	282.488	282.177	281.926	281.729	281.585	281.490	281.443
