V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
285.744	284.298	283.038	281.942	280.992	280.173	279.470	278.872	278.368	277.952	277.615	277.351	277.158	277.030	276.967
287.418	285.780	284.352	283.110	282.034	281.105	280.308	279.631	279.060	278.588	278.206	277.908	277.688	277.544	277.472
288.780	286.986	285.421	284.060	282.881	281.863	280.990	280.248	279.623	279.105	278.687	278.360	278.119	277.961	277.883
291.497	289.390	287.552	285.955	284.570	283.375	282.351	281.479	280.745	280.137	279.646	279.262	278.980	278.794	278.702
292.923	290.651	288.671	286.949	285.457	284.169	283.064	282.125	281.334	280.679	280.149	279.736	279.431	279.231	279.132
288.147	286.425	284.924	283.618	282.487	281.511	280.673	279.961	279.361	278.865	278.463	278.149	277.919	277.767	277.692
286.449	284.922	283.591	282.434	281.431	280.565	279.823	279.191	278.660	278.220	277.864	277.586	277.381	277.246	277.180
287.468	285.824	284.391	283.145	282.064	281.132	280.333	279.653	279.081	278.607	278.223	277.924	277.704	277.559	277.487
291.467	289.363	287.529	285.934	284.552	283.359	282.336	281.465	280.733	280.126	279.635	279.252	278.970	278.785	278.693
288.373	286.625	285.101	283.776	282.628	281.637	280.786	280.063	279.455	278.951	278.543	278.225	277.990	277.836	277.760
291.430	289.330	287.500	285.908	284.529	283.338	282.317	281.448	280.717	280.112	279.622	279.240	278.959	278.774	278.682
289.279	287.427	285.812	284.408	283.191	282.141	281.240	280.474	279.829	279.295	278.863	278.525	278.277	278.114	278.033
290.751	288.729	286.967	285.434	284.106	282.960	281.977	281.140	280.437	279.854	279.382	279.014	278.743	278.565	278.477
292.562	290.332	288.388	286.698	285.233	283.968	282.884	281.961	281.185	280.542	280.022	279.616	279.317	279.121	279.023
288.646	286.866	285.315	283.966	282.797	281.788	280.923	280.187	279.567	279.054	278.639	278.315	278.077	277.920	277.842
286.256	284.752	283.440	282.300	281.311	280.458	279.726	279.104	278.580	278.146	277.796	277.522	277.320	277.187	277.122
286.896	285.318	283.942	282.746	281.709	280.814	280.047	279.394	278.845	278.390	278.021	277.734	277.523	277.384	277.315
287.908	286.213	284.736	283.451	282.338	281.377	280.553	279.852	279.262	278.774	278.379	278.070	277.843	277.694	277.620
288.570	286.800	285.256	283.914	282.750	281.746	280.885	280.152	279.536	279.026	278.613	278.290	278.053	277.897	277.820
290.411	288.429	286.700	285.198	283.895	282.771	281.807	280.987	280.296	279.725	279.262	278.901	278.636	278.461	278.375
290.298	288.329	286.612	285.119	283.825	282.708	281.750	280.935	280.250	279.682	279.223	278.864	278.600	278.426	278.340
293.201	290.898	288.890	287.143	285.630	284.324	283.204	282.251	281.449	280.785	280.247	279.828	279.519	279.316	279.216
294.948	292.443	290.260	288.362	286.716	285.296	284.078	283.042	282.170	281.448	280.864	280.408	280.073	279.852	279.743
291.770	289.631	287.766	286.145	284.740	283.527	282.487	281.602	280.858	280.241	279.742	279.353	279.066	278.878	278.784
291.430	289.330	287.500	285.908	284.529	283.338	282.317	281.448	280.717	280.112	279.622	279.240	278.959	278.774	278.682
286.109	284.622	283.325	282.197	281.220	280.376	279.653	279.037	278.519	278.091	277.744	277.473	277.273	277.142	277.077
287.354	285.724	284.302	283.066	281.994	281.069	280.276	279.602	279.034	278.564	278.183	277.886	277.668	277.524	277.453
288.713	286.926	285.368	284.013	282.839	281.826	280.957	280.217	279.595	279.080	278.663	278.337	278.098	277.941	277.863
