survey_year	n_nh4	type
2023	0.100000000	Measured
2023	0.247000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.013000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.015000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	         NA	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	         NA	Measured
2023	0.689000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	         NA	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	         NA	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.013000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.016000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.011000000	Measured
2023	0.100000000	Measured
2023	0.045000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.027000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.029000000	Measured
2023	0.080000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.020000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.014000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.079000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.147000000	Measured
2023	0.100000000	Measured
2023	0.013000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.000699738	Measured
2023	         NA	Measured
2023	0.001647370	Measured
2023	0.002595900	Measured
2023	0.003545328	Measured
2023	0.004495655	Measured
2023	0.005446882	Measured
2023	0.006399009	Measured
